x_coord,y_coord,year.B1,magnitude.B1,duration.B1,pre.B1,rate.B1,dsnr.B1,year.B2,magnitude.B2,duration.B2,pre.B2,rate.B2,dsnr.B2,year.B3,magnitude.B3,duration.B3,pre.B3,rate.B3,dsnr.B3,year.B4,magnitude.B4,duration.B4,pre.B4,rate.B4,dsnr.B4,year.B5,magnitude.B5,duration.B5,pre.B5,rate.B5,dsnr.B5,year.B7,magnitude.B7,duration.B7,pre.B7,rate.B7,dsnr.B7,year.NBR,magnitude.NBR,duration.NBR,pre.NBR,rate.NBR,dsnr.NBR,year.TCB,magnitude.TCB,duration.TCB,pre.TCB,rate.TCB,dsnr.TCB,year.TCG,magnitude.TCG,duration.TCG,pre.TCG,rate.TCG,dsnr.TCG,year.TCW,magnitude.TCW,duration.TCW,pre.TCW,rate.TCW,dsnr.TCW,plotid,landcover
3572952.6302073,2837064.56245563,0,0,0,0,0,0,1992,494,1,543,494,7,1992,381,1,558,381,5,1988,1480,3,4148,493,5,1985,107,12,1887,8,0,1985,267,12,736,22,2,1985,186,10,689,18,2,1992,244,1,3113,244,1,1985,1201,10,2692,120,4,1985,680,14,-763,48,3,355,Forest
3992172.6302073,2628264.56245563,0,0,0,0,0,0,1992,1022,1,-235,1022,1,0,0,0,0,0,0,1985,3335,1,6906,3335,11,1998,933,23,841,40,1,1995,643,1,-47,643,1,2010,171,2,810,85,2,0,0,0,0,0,0,1988,54,25,2298,2,0,0,0,0,0,0,0,359,Forest
3671832.6302073,2323164.56245563,1992,782,1,-196,782,2,1992,918,3,-27,306,2,0,0,0,0,0,0,0,0,0,0,0,0,1992,1738,2,711,869,5,1993,1313,1,171,1313,4,1993,469,1,773,469,4,0,0,0,0,0,0,0,0,0,0,0,0,1993,1541,1,-198,1541,5,370,Forest
4042092.6302073,2373444.56245563,1987,567,1,479,567,6,1985,916,3,411,305,8,1985,1040,3,322,346,8,1985,465,24,2784,19,2,1985,664,3,1533,221,4,2017,609,4,535,152,4,1985,303,2,632,151,5,0,0,0,0,0,0,1985,993,5,1715,198,5,2020,585,1,-854,585,4,377,Forest
4051332.6302073,2323314.56245563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1990,1326,1,3875,1326,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1987,406,2,4433,203,1,1990,1146,1,1602,1146,3,1985,1591,1,-825,1591,3,401,Forest
3702972.6302073,2580084.56245563,1989,105,5,344,21,1,0,0,0,0,0,0,1989,264,2,390,132,2,1985,1036,8,4121,129,2,0,0,0,0,0,0,1989,252,2,763,126,1,1985,204,6,702,34,1,0,0,0,0,0,0,1985,842,6,2678,140,1,1994,794,5,-758,158,3,419,Forest
3972012.6302073,2578014.56245563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1985,63,7,430,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1992,702,1,1177,702,4,0,0,0,0,0,0,1985,67,36,0,1,1,436,Forest
3955362.6302073,2445834.56245563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1985,415,1,2902,415,3,1989,223,1,1508,223,1,1989,217,1,638,217,1,1985,115,5,610,23,1,1990,768,1,2042,768,2,1989,451,4,1720,112,2,1985,897,1,151,897,5,443,Forest
3725532.6302073,2859654.56245563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005,871,2,3392,435,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004,110,17,2885,6,0,0,0,0,0,0,0,0,0,0,0,0,0,458,Forest
3483222.6302073,2275824.56245563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1985,930,1,2625,930,2,1992,453,2,597,226,3,0,0,0,0,0,0,2005,84,1,632,84,1,0,0,0,0,0,0,1985,679,1,1216,679,3,1985,234,1,45,234,2,459,Forest
3474042.6302073,2366934.56245563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1998,477,7,1266,68,2,1998,206,3,454,68,2,0,0,0,0,0,0,1997,599,24,2989,24,1,0,0,0,0,0,0,1997,120,4,-503,30,1,468,Forest
3843372.6302073,2544714.56245563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1989,953,2,3920,476,5,0,0,0,0,0,0,1995,28,26,431,1,0,0,0,0,0,0,0,2013,788,2,1949,394,4,1985,1046,1,2459,1046,4,2012,279,1,-180,279,2,476,Forest
3696132.6302073,2351454.56245563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1985,1050,1,785,1050,5,1985,815,1,414,815,6,1985,273,1,616,273,10,0,0,0,0,0,0,0,0,0,0,0,0,1985,1156,1,17,1156,7,488,Forest
3876402.6302073,2657784.56245563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,490,Forest
3380052.6302073,2326164.56245563,0,0,0,0,0,0,1995,44,26,467,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,854,2,1469,427,5,2017,835,1,612,835,8,2016,83,5,707,16,2,2008,962,13,2846,74,3,0,0,0,0,0,0,2017,1109,1,-624,1109,7,492,Forest
3850362.6302073,2495484.56245563,1989,787,32,6,24,3,2013,1089,2,382,544,4,2013,1451,2,292,725,5,1985,797,7,3025,113,3,2013,2154,1,1023,2154,11,2013,2126,1,276,2126,14,2013,751,1,778,751,12,2012,2073,4,2349,518,4,2013,755,1,1492,755,3,2013,2281,1,-383,2281,14,502,Forest
3609732.6302073,2504454.56245563,1985,164,4,281,41,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009,404,12,3039,33,1,0,0,0,0,0,0,0,0,0,0,0,0,522,Forest
3834252.6302073,2317074.56245563,0,0,0,0,0,0,0,0,0,0,0,0,2003,196,2,323,98,1,1989,1253,1,4476,1253,2,2003,324,2,1426,162,1,2004,271,1,546,271,1,2002,88,1,774,88,3,2012,888,9,2696,98,2,1989,904,1,3004,904,3,0,0,0,0,0,0,545,Forest
3763122.6302073,2302404.56245563,0,0,0,0,0,0,0,0,0,0,0,0,1990,239,1,267,239,5,2015,1389,6,4506,231,4,2004,259,17,1306,15,2,2010,114,7,471,16,2,0,0,0,0,0,0,1998,491,17,2715,28,2,2015,749,6,2976,124,2,1985,225,1,-487,225,4,566,Forest
4043442.6302073,2781024.56245563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1985,915,19,3675,48,2,0,0,0,0,0,0,0,0,0,0,0,0,1985,334,1,658,334,1,0,0,0,0,0,0,0,0,0,0,0,0,1996,1723,1,-701,1723,3,573,Forest
3736152.6302073,2328054.56245563,1993,13,28,328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,777,1,4076,777,2,1985,185,5,1494,37,1,0,0,0,0,0,0,1989,195,1,746,195,4,0,0,0,0,0,0,1989,840,1,2974,840,4,1985,359,10,-446,35,3,590,Forest
3937632.6302073,2764974.56245563,0,0,0,0,0,0,0,0,0,0,0,0,2008,185,5,383,37,1,1985,1031,9,4294,114,1,2011,398,2,1749,199,1,2011,364,2,730,182,2,1985,190,4,724,47,2,0,0,0,0,0,0,1985,2044,6,3358,340,6,2011,440,2,-781,220,2,597,Forest
3957372.6302073,2799624.56245563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1985,402,36,3945,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,617,Forest
